"key","type","summary","epic"
"TLY-266","Story","Distinguish proof required at tender stage from proof required only at award","etenders-model"
"TLY-267","Story","Enforce the tender's AI-use policy instead of only reporting it","etenders-model"
"TLY-268","Story","Model the pricing schedule, the price formula and the price criterion's marks","etenders-model"
"TLY-269","Story","Complete the ESPD to Parts II–VI and export an ESPD response file","etenders-model"
"TLY-270","Story","Model subcontractors and reliance on third-party capacity as declarable entities","etenders-model"
"TLY-271","Story","Model consortium and joint bids as one bid by several economic operators","etenders-model"
"TLY-272","Story","Surface the eTenders notice fields already harvested but never modelled","etenders-model"
"TLY-273","Story","Add a post-submission stage covering receipt, standstill, debrief and challenge","etenders-model"
"TLY-274","Story","Capture each bid's outcome, the buyer's marks and the winner, and feed them back","etenders-model"
"TLY-275","Story","Model signature, signing authority and e-signature requirements per document","etenders-model"
"TLY-276","Story","Boot the built server artifact in CI and fail if it does not answer /health","proof"
"TLY-277","Story","Publish the deployed commit SHA on /health and assert it after every deploy","proof"
"TLY-278","Story","Fail the web build when VITE_API_URL is absent instead of serving demo data","proof"
"TLY-279","Story","Assert every eTenders discovery env var matches between the API and the cron service","proof"
"TLY-280","Story","Assert eTenders paging from the recorded fixture, including the Next button href","proof"
"TLY-281","Story","Fail the nightly discovery run when it stores notifications but ingests no tender","proof"
"TLY-282","Story","Test CPV family matching end to end against the deployed threshold value","proof"
"TLY-283","Story","Smoke the deployed API for database, CPV and ingestion freshness, not just a 200","proof"
"TLY-284","Story","Verify a browser preflight from the real web origin against the deployed API","proof"
"TLY-285","Story","Point the production smoke suite at the production web app instead of localhost","proof"
"TLY-286","Story","Make every CI step that guards a deploy fail loudly when its secret is missing","proof"
"TLY-287","Story","Add the missing test:web and test:integration scripts so CI stops skipping them silently","proof"
"TLY-288","Story","Wrap the app shell in the error boundary so no screen can white-page the product","resilience"
"TLY-289","Story","Render every screen against a minimal-shape payload with all optional fields absent","resilience"
"TLY-290","Story","Assert the workspace renders when one endpoint fails and when one hangs","resilience"
"TLY-291","Story","Replace the demo workspace with synthetic data that names no real buyer","resilience"
"TLY-292","Story","Record the euro cost of every model call in usage_events","cost"
"TLY-293","Story","Stop a runaway AI bill with a per-account monthly spend ceiling","cost"
"TLY-294","Story","Cache the stable prefix of every drafting call","cost"
"TLY-295","Story","Meter drafting as bid credits and check the balance before a batch run","cost"
"TLY-296","Story","Right-size model and effort for every AI call site","cost"
"TLY-297","Story","Offer approved answers from previous bids when drafting a similar question","reuse"
"TLY-298","Story","Pool extracted tender requirement structures across tenants keyed on canonical notice","reuse"
"TLY-299","Story","Ship a real sample tender pack every new account can analyse in one click","reuse"
"TLY-300","Story","Show the answer-reuse rate on every bid so the library's compounding value is visible","reuse"
"TLY-301","Story","Add mandatory MFA and SAML single sign-on for larger buyers","sellable"
"TLY-302","Story","Split index.ts and db.ts into feature modules and retire the in-memory mirror","sellable"
"TLY-303","Story","Rewrite ARCHITECTURE.md and GAPS.md against the code and gate them in CI","sellable"
"TLY-304","Story","Add password reset and session revocation","sellable"
"TLY-305","Story","Build a crawlable marketing and docs surface outside the single-page app","sellable"
"TLY-306","Story","Publish security, privacy, DPA and sub-processor pages as real URLs","sellable"
"TLY-307","Story","Reconcile the AI sub-processor disclosure across README, ARCHITECTURE and DATA_PROCESSING","sellable"
"TLY-308","Story","Settle on one domain, own it, and align CORS with the links the product sends","sellable"
"TLY-309","Story","Publish the prompt versions and the tests that pin the evidence rules","sellable"
"TLY-310","Story","Retrieve login-gated tender packs through the customer's own eTenders session","beyond-one"
"TLY-311","Story","Add UK Find a Tender and Contracts Finder as ingestion sources","beyond-one"
"TLY-312","Story","Match bidders into consortia using the gate each partner would close","beyond-one"
"TLY-313","Story","Emit a signed AI-use declaration into the submission pack","beyond-one"
"TLY-314","Story","Publish price-to-win and incumbent intelligence from award history","beyond-one"
"TLY-315","Story","Support framework and DPS lifecycles including mini-competitions","beyond-one"
"TLY-316","Story","Launch a buyer-side bid assurance portal for contracting authorities","beyond-one"
"TLY-317","Story","Publish award-history pages for every buyer and CPV code","beyond-one"
"TLY-318","Story","Publish an Irish Public Procurement SME Index from award_history","beyond-one"
"TLY-319","Story","Introduce a tender-source adapter so a second portal is configuration, not a rewrite","beyond-one"
"TLY-320","Story","Carry contract value as amount plus currency code instead of a euro-formatted string","beyond-one"
"TLY-321","Story","Add a UK Standard Selection Questionnaire set alongside the ESPD declarations","beyond-one"
"TLY-322","Story","Wire TED into discovery, handling language-keyed fields and CPV arrays","beyond-one"
