"id","type","epic","summary","priority","points","sprint1","labels","dependsOn","acCount","acceptanceCriteria","description"
"E2-03","Story","tender-ingestion","Ingest Irish above-threshold notices from the TED API","High","5","no","tender-ingestion area:data","E2-01","6","AC1 — Given a recorded TED API response fixture containing three Irish notices, When the tester runs the ingestion routine against it, Then three rows appear in `tenders` with `source` equal to `ted` and `external_id` equal to each notice's TED publication number.
AC2 — Given the same fixture ingested a second time, When the tester queries `SELECT count(*) FROM tenders WHERE source='ted'`, Then the count is still three.
AC3 — Given a signed-in user, When the tester opens the Discover screen after TED ingestion has run, Then TED-sourced notices are listed with a visible source label reading `TED` and a link to the notice on the TED website.
AC4 — Given a fixture in which one notice is missing a CPV code, When the tester runs ingestion, Then that notice is still stored, its CPV field is empty, and a warning naming the publication number is written to the ingestion log — no exception is raised.
AC5 — Given the API returns HTTP 429, When the tester runs ingestion against a stub returning that status, Then ingestion stops, retries after the interval named in the response, and reports the retry in its log rather than losing the run.
AC6 — Given the repository, When the tester runs `npm test` inside `server/` with no network access, Then the TED tests execute against fixtures and exit with code 0.","**Context**

Above-threshold Irish contracts are published to TED. Relying on eTenders scraping alone both misses notices and leaves the product one redesign away from no discovery at all. TED is a documented API — the second source makes discovery resilient.

**Notes**

New `server/src/sources/ted.ts` behind a common `TenderSource` interface that `etenders.ts` also implements. Map TED fields to the existing `tenders` shape, recording `source='ted'` and the TED publication number as `external_id`. Fixture-backed tests only — no live API call in CI. Respect the API's rate limits and record them in `docs/DATA_SOURCES.md`. Dedupe against eTenders is a separate story (E2-06)."
"E2-04","Story","tender-ingestion","Load the OGP quarterly open dataset into an award_history table","High","3","no","tender-ingestion area:data","E2-01","6","AC1 — Given a sample OGP CSV of 500 rows in `server/tests/fixtures/ogp/`, When the tester runs `npm run import:ogp -- <path>`, Then the command exits with code 0 and `SELECT count(*) FROM award_history` returns 500.
AC2 — Given the same file imported twice, When the tester queries `SELECT count(*) FROM award_history`, Then the count is still 500 and the command reports the number of rows skipped as duplicates.
AC3 — Given the loaded table, When the tester queries award rows for CPV `71314000` and authority `Health Service Executive`, Then matching rows return supplier name, award value and award date populated from the CSV.
AC4 — Given a CSV row with a malformed award date such as `31/02/2024`, When the tester runs the import, Then that row is skipped, the import continues to the end of the file, and the summary names the skipped line number.
AC5 — Given the merged branch, When the reviewer opens the migration file, Then `award_history` has no `account_id` column and a comment states it is shared reference data licensed CC-BY-4.0 with the attribution string.
AC6 — Given a CSV whose header row does not match the expected OGP columns, When the tester runs the import, Then it exits non-zero naming the unexpected header, And no rows are inserted.","**Context**

E5's Go/No-Go intelligence needs historical facts: which authority awarded what, to whom, at what value, under which CPV. The OGP publishes this quarterly as an open CSV. It is reference data for intelligence, not a live discovery feed, so it loads on demand rather than daily.

**Notes**

New migration adding `award_history` (authority, supplier, cpv, value, award_date, procedure, source_file, licence_note) with indexes on `(cpv)` and `(authority)`. Loader script `server/src/sources/ogp-import.ts` run through an npm script, streaming the CSV rather than buffering. Record the CC-BY-4.0 attribution in the table and surface it wherever the data is displayed. This table is global reference data, not tenant-scoped — assert that explicitly so the E12 isolation tests do not flag it."
"E2-05","Story","tender-ingestion","Normalise CPV codes with their hierarchy into a lookup table","High","3","no","tender-ingestion area:data","","5","AC1 — Given the seeded table, When the tester queries the CPV lookup for `71314000-5`, Then one row returns with the normalised code `71314000`, its English description, and its parent chain `71300000` then `71000000`.
AC2 — Given a tender ingested with the raw CPV string `71314000-5 Energy and related services`, When the tester opens that tender's Qualify screen, Then the CPV is shown as `71314000 — Energy and related services`.
AC3 — Given a tender ingested with an unrecognised CPV string such as `99999999`, When the tester opens that tender, Then the raw string is displayed unchanged with the note `Unrecognised CPV`, And the import does not fail.
AC4 — Given tenders imported before this change, When the tester runs the migration and then queries tenders with a populated normalised CPV column, Then previously imported tenders with a valid raw CPV have the normalised value set.
AC5 — Given the tester requests all descendants of division `71000000`, When they call the lookup, Then codes at group, class and category level beneath it are returned and codes from other divisions are not.","**Context**

CPV codes arrive as free text from three sources, in inconsistent forms (`71314000-5`, `71314000`, or a description with no code). Preference matching in E3 and award intelligence in E5 both need a canonical code plus its parent chain so that a company registered against a division also matches its narrower children.

**Notes**

New `cpv_codes` table (code, description, parent_code, level) seeded from the published CPV 2008 list committed as a data file, plus `normaliseCpv()` returning the 8-digit code, its check digit and its ancestor chain. Apply at ingestion time for all sources and backfill existing rows in the migration."
"E2-06","Story","tender-ingestion","Deduplicate notices across eTenders and TED on external identifiers","Medium","3","no","tender-ingestion area:data","E2-03","5","AC1 — Given fixtures for one notice published on both eTenders and TED sharing OJEU reference `2026/S 123-456789`, When the tester runs both ingestions, Then the Discover screen lists that opportunity once.
AC2 — Given that merged opportunity, When the tester opens it, Then both source links are shown, labelled `eTenders` and `TED`.
AC3 — Given two genuinely different notices from the same buyer published on the same day with different titles, When the tester runs both ingestions, Then both appear in Discover as separate opportunities.
AC4 — Given the eTenders record was imported and worked on first, When the TED duplicate is ingested afterwards, Then the existing bid record, its documents and its saved answers remain attached to the same opportunity and none are orphaned.
AC5 — Given a notice with no shared reference, When the tester ingests it from both sources with identical buyer, title and deadline, Then it is merged once and the merge reason is recorded as `heuristic` in the ingestion log.","**Context**

Above-threshold Irish notices appear on both eTenders and TED. Without dedupe the Discover list shows the same opportunity twice, match scores double-count and a user could open two bid records for one tender.

**Notes**

The existing unique constraint is `(account_id, source, external_id)` — dedupe therefore needs a cross-source identity: TED notices carry the national reference, and eTenders detail pages carry an OJEU/TED reference where one exists. Add a `canonical_key` column populated from that reference, falling back to a normalised (buyer, title, deadline) triple. Prefer the richer record and keep the other as a linked alternate source rather than deleting it."
"E2-07","Story","tender-ingestion","Alert when a source's parse yield drops below its expected floor","Medium","2","no","tender-ingestion area:data","E2-02","5","AC1 — Given seven recorded runs each parsing about 40 notices, When the tester runs the discovery job against a fixture yielding 5 notices, Then the job exits non-zero and its output states the expected floor and the observed count.
AC2 — Given the same history, When the tester runs the job against a fixture yielding 38 notices, Then the job exits with code 0 and no alarm is raised.
AC3 — Given a run where every notice parsed but the submission deadline was empty on 90 percent of them, When the job completes, Then it exits non-zero and its output names the deadline field as the degraded one.
AC4 — Given at least one run has been recorded, When the tester requests `GET /health`, Then the response includes the timestamp and parsed-notice count of the most recent ingestion run per source.
AC5 — Given no previous runs exist, When the tester runs the job for the first time, Then it completes with code 0 and records the run without raising an alarm about missing history.","**Context**

Fixtures catch drift in CI, but production drift shows up only as a quietly empty Discover list. The daily job needs to record what each source yielded and raise a visible alarm when the numbers collapse.

**Notes**

Record per-run counts (notices seen, notices parsed, fields populated per notice) into an `ingestion_runs` table; compare against the trailing median and flag a run where parsed notices fall below half of it or where a required field is empty on more than a stated share of notices. Surface on `/health` and in the job's exit status; wire real alerting to the Sentry work in E12 rather than inventing a channel here."
"E3-01","Story","discovery-matching","Save a discovery preference profile of CPV codes, sectors and value bands","High","3","yes","discovery-matching area:web","","6","AC1 — Given a signed-in user on the Settings screen, When the tester adds CPV `71314000`, sector `Energy`, keyword `retrofit` and value band `100000` to `500000`, clicks Save, and reloads the page, Then all four values are still shown.
AC2 — Given that saved profile, When the tester opens the Discover screen, Then only notices whose CPV, sector or keyword matches the profile are listed, And the count shown above the list equals the number of rows listed.
AC3 — Given the saved profile with the value band above, When the tester views a notice with an estimated value of 2,000,000 euro, Then it is not listed on Discover, And it is listed after the tester raises the upper band to 5,000,000 and reloads.
AC4 — Given a user with no preference profile saved, When the tester opens the Discover screen, Then all discovered notices are listed and a prompt reading `Set your discovery preferences` links to Settings.
AC5 — Given the tester enters value band lower 500000 and upper 100000, When they click Save, Then the form shows the message `Upper value must be greater than lower value` and no change is saved.
AC6 — Given user A saved a profile, When user B signs in and opens Settings, Then user B's preference fields are empty and none of user A's values appear.","**Context**

Discovery scores every crawled notice against free-text company fields. The vision is explicit: a company chooses its CPV codes, sectors, keywords and value bands once, and discovery honours them. This is also the thin end-to-end vertical slice for sprint 1 — a new table, new endpoints, a new screen section, and an e2e journey — proving the branch-to-Jira-to-CI loop on a real feature.

**Notes**

New `discovery_preferences` table keyed on `account_id`; `GET`/`PUT /api/preferences`; a Preferences panel on the Settings screen with CPV lookup (E2-05 if merged, free text plus validation otherwise); the Discover list filters on the saved profile. Keep it deliberately small — saved searches, scoring changes and digests are separate stories."
"E3-02","Spike","discovery-matching","Spike: choose a transactional email provider","High","2","no","discovery-matching area:infra","","4","AC1 — Given the merged branch, When the reviewer opens `docs/EMAIL_PROVIDER.md`, Then at least three providers are compared in a table covering monthly cost at 10,000 messages, EU data residency, bounce webhook support and Node SDK maturity.
AC2 — Given the document, When the reviewer reads the recommendation, Then one provider is named as the choice with a paragraph of reasoning and a named runner-up.
AC3 — Given the document, When the reviewer reads the integration section, Then it specifies the `Mailer` interface methods, the environment variables required, and how mail is suppressed in test and CI runs.
AC4 — Given the document, When the reviewer reads the domain section, Then it lists the DNS records the operator must add and states who owns that task in `SETUP_CHECKLIST.md`.","**Context**

Notifications are stored in the database and never sent. The daily digest (E3-04), renewal reminders (E6), deadline reminders (E10) and dunning mail (E11) all need one provider decision made once, including EU data residency, which matters to Irish public-sector customers.

**Notes**

Timebox one day. Compare at least three providers on price at 10k mails per month, EU region support, deliverability tooling (SPF/DKIM/DMARC guidance), template handling, bounce and complaint webhooks, and Node SDK quality. Output `docs/EMAIL_PROVIDER.md` with a recommendation and the integration shape (one `Mailer` interface, provider behind it)."
"E3-03","Story","discovery-matching","Explainable match scoring v2 showing which profile facts matched","High","3","no","discovery-matching area:api","E3-01 E2-05","5","AC1 — Given a profile with CPV `71314000` and keyword `retrofit`, When the tester opens Discover and expands the score on a notice with CPV `71314000` whose title contains `retrofit`, Then the breakdown lists a CPV exact-match contribution and a keyword contribution, each with its points, summing to the displayed total.
AC2 — Given a notice with CPV `71300000` (a parent of the profile code), When the tester expands its score, Then the breakdown shows a CPV ancestor-match contribution scoring fewer points than the exact match on the notice in AC1.
AC3 — Given a notice matching no profile fact, When the tester views Discover, Then that notice shows a score of 0 and the breakdown reads `No profile facts matched`.
AC4 — Given two notices scored before this change, When the tester re-runs the discovery job and views them, Then each shows a breakdown, And no notice displays a score without one.
AC5 — Given the tester removes the keyword `retrofit` from the profile and re-runs discovery, When they expand the score of the AC1 notice, Then the keyword contribution is absent and the total has dropped by exactly that contribution's points.","**Context**

`scoreTenderPreview` returns a bare number from keyword token overlap. A user cannot tell why a notice scored 62, so they cannot trust or tune it. Scoring must become a set of named contributions computed from the preference profile and the company record.

**Notes**

Rewrite scoring as weighted components (CPV exact, CPV ancestor, sector, keyword, value band, buyer previously worked with) each returning a labelled contribution; persist the breakdown with the notification. This stays deliberately non-AI: cheap, deterministic and explainable. Files: `server/src/etenders.ts`, `server/src/jobs.ts`, serializers, Discover screen."
"E3-04","Story","discovery-matching","Daily email digest of new matching notices","High","3","no","discovery-matching area:api","E3-02 E3-03","6","AC1 — Given an account with three notifications created since the previous digest, When the tester runs the digest job, Then one email is sent to that account's address listing exactly those three notices with title, buyer, deadline and score.
AC2 — Given the digest job has just run, When the tester runs it again immediately, Then no email is sent and the job output states that the digest was already sent for the period.
AC3 — Given an account with no new notifications since the previous digest, When the tester runs the digest job, Then no email is sent to that account.
AC4 — Given a digest email, When the tester clicks a notice title, Then the browser opens that opportunity's Qualify screen after sign-in.
AC5 — Given the tester clicks the unsubscribe link in the digest, When the digest job runs the next day for that account with new matches, Then no email is sent, And the Settings screen shows digest email as off.
AC6 — Given the mail provider returns an error for one account, When the digest job runs for five accounts, Then the other four emails are still sent and the job output names the failed account.","**Context**

The daily job already stores notifications above a match threshold; nobody is told. A morning digest is the product's habit-forming loop and the main reason a subscriber keeps paying.

**Notes**

Send after the existing 07:15 UTC discovery run using the E3-02 `Mailer`. One mail per account listing new matches above the account's threshold, each with title, buyer, deadline, score and a deep link. Record `digest_sent_at` so a re-run does not resend, and include an unsubscribe link honoured by a per-account setting. No mail is sent in test or CI."
"E3-05","Story","discovery-matching","Saved searches with named filters on Discover","Medium","3","no","discovery-matching area:web","E3-01","5","AC1 — Given a signed-in user on Discover, When the tester sets buyer filter `Health Service Executive` and CPV `71314000`, clicks Save search, names it `HSE energy`, and reloads the page, Then `HSE energy` appears in the saved-search selector.
AC2 — Given the saved search `HSE energy`, When the tester selects it, Then the list shows only notices matching both that buyer and that CPV, And the active search name is displayed above the list.
AC3 — Given the tester selects `All matches` in the selector, When the list refreshes, Then the account's default preference-profile results are shown.
AC4 — Given the tester attempts to save a second search also named `HSE energy`, When they click Save, Then the message `A saved search with that name already exists` is shown and no second entry is created.
AC5 — Given the saved search `HSE energy` exists, When the tester deletes it and reloads the page, Then it is absent from the selector and the list falls back to the default preference-profile view.","**Context**

One preference profile serves the whole account, but a bid team looks at different slices — 'HSE energy work', 'small local authority IT'. Saved searches let a user keep several named filters without editing the profile each time.

**Notes**

`saved_searches` table (account_id, name, filter_json); CRUD endpoints; a selector above the Discover list; the account profile remains the default view. Filters reuse the E3-01 fields so no new matching logic is introduced."
