"key","type","summary","epic"
"TLY-71","Story","Complete buyer-provided XLSX templates in place","ai-response-studio"
"TLY-72","Story","Refine a section with user steering","ai-response-studio"
"TLY-73","Story","Record a provenance ledger entry for every response section","review-compliance"
"TLY-74","Story","Detect and flag tenders that restrict AI-generated content","review-compliance"
"TLY-75","Story","No-AI mode: assistance without generation","review-compliance"
"TLY-76","Story","Pre-pack attestation summarising provenance","review-compliance"
"TLY-77","Story","Version history for responses with restore","review-compliance"
"TLY-78","Story","Scored mock evaluation against the extracted award criteria","review-compliance"
"TLY-79","Story","Audit log of sensitive actions","review-compliance"
"TLY-80","Story","Deadline countdowns and a reminder schedule per tender","submission-ops"
"TLY-81","Story","Clarification question tracker","submission-ops"
"TLY-82","Story","Submission runbook for the human's final steps on eTenders","submission-ops"
"TLY-83","Story","Record submission and capture the outcome","submission-ops"
"TLY-84","Story","Bid task list with owners and due dates","submission-ops"
"TLY-85","Spike","Spike: design the multi-user tenant model and migration path","teams-billing"
"TLY-86","Story","Introduce organisations and memberships","teams-billing"
"TLY-87","Story","Invite team members by email","teams-billing"
"TLY-88","Story","Enforce owner, editor and viewer roles","teams-billing"
"TLY-89","Spike","Spike: define subscription plans and the Stripe integration shape","teams-billing"
"TLY-90","Story","Stripe subscriptions with trial and checkout","teams-billing"
"TLY-91","Story","Gate features by plan limits","teams-billing"
"TLY-92","Story","Billing portal and dunning emails","teams-billing"
"TLY-93","Story","Automated cross-tenant isolation test suite","trust-security-ops"
"TLY-94","Story","Structured logging with request identifiers","trust-security-ops"
"TLY-95","Story","Sentry error tracking for API and web with release tagging","trust-security-ops"
"TLY-96","Story","Encrypt vault and tender documents at rest","trust-security-ops"
"TLY-97","Story","GDPR data export and account deletion","trust-security-ops"
"TLY-98","Story","Data retention policy and DPA page","trust-security-ops"
"TLY-99","Story","Rate limit and quota the expensive endpoints","trust-security-ops"
"TLY-100","Story","Backup, restore and staging seed runbook","trust-security-ops"
"TLY-101","Story","Make ci-pr the required check on every story branch","quality-release"
"TLY-102","Story","Staging deploy and e2e feedback to Jira on merge to main","quality-release"
"TLY-103","Story","Grow Playwright journeys to cover the moat behaviours","quality-release"
"TLY-104","Story","Staging seed data tooling","quality-release"
"TLY-105","Story","Flaky test quarantine process","quality-release"
"TLY-106","Story","Load smoke on the analysis endpoint","quality-release"
